"","chrom","Mean, normalized CT-CN distances","SD"
"1","1",0.75,0.18
"2","2",0.77,0.16
"3","3",0.76,0.18
"4","4",0.77,0.18
"5","5",0.79,0.18
"6","6",0.68,0.2
"7","7",0.74,0.18
"8","8",0.73,0.2
"9","9",0.72,0.21
"10","10",0.68,0.2
"11","11",0.65,0.2
"12","12",0.65,0.23
"13","13",0.66,0.2
"14","14",0.62,0.21
"15","15",0.63,0.22
"16","16",0.62,0.21
"17","17",0.58,0.22
"18","18",0.57,0.23
"19","19",0.63,0.2
"20","20",0.61,0.21
"21","21",0.55,0.22
"22","22",0.53,0.17
"23","X",0.75,0.2
"24","Y",0.45,0.19
