,seqnames,start,end,width,strand,CPD,IP64
1,chr1,1,100000,100000,*,0.536684134,1.55137689
2,chr1,100001,200000,100000,*,0.305483513,0.622496111
3,chr1,200001,300000,100000,*,0.28625938,0.782097772
4,chr1,300001,400000,100000,*,0.167040005,0.370999992
5,chr1,400001,500000,100000,*,0.167040005,0.607827675
6,chr1,500001,600000,100000,*,0.582091373,1.065851722
7,chr1,600001,700000,100000,*,0.450302333,0.79551635
8,chr1,700001,800000,100000,*,0.57719875,0.950406194
9,chr1,800001,900000,100000,*,0.632154793,0.716135338
10,chr1,900001,1000000,100000,*,0.46071554,0.744771927
11,chr1,1000001,1100000,100000,*,0.466706023,0.736343658
12,chr1,1100001,1200000,100000,*,0.426905662,0.663809234
13,chr1,1200001,1300000,100000,*,0.351200704,0.614853359
14,chr1,1300001,1400000,100000,*,0.491928874,0.755673322
15,chr1,1400001,1500000,100000,*,0.453018556,0.716474846
16,chr1,1500001,1600000,100000,*,0.4961223,0.776936412
17,chr1,1600001,1700000,100000,*,0.413692817,0.627833722
18,chr1,1700001,1800000,100000,*,0.660721333,0.757389683
19,chr1,1800001,1900000,100000,*,0.514657561,0.846037147
20,chr1,1900001,2000000,100000,*,0.464900808,0.71759123
21,chr1,2000001,2100000,100000,*,0.458694859,0.805590529
22,chr1,2100001,2200000,100000,*,0.465171266,0.723854673
23,chr1,2200001,2300000,100000,*,0.450944684,0.677032292
24,chr1,2300001,2400000,100000,*,0.362380277,0.632411817
25,chr1,2400001,2500000,100000,*,0.229544591,0.585997328
26,chr1,2500001,2600000,100000,*,0.558192232,0.76227041
27,chr1,2600001,2700000,100000,*,0.509379327,0.815425436
28,chr1,2700001,2800000,100000,*,0.426733103,0.734811097
29,chr1,2800001,2900000,100000,*,0.34358216,0.734617414
30,chr1,2900001,3000000,100000,*,0.451826411,0.724024841
31,chr1,3000001,3100000,100000,*,0.335028186,0.923343735
32,chr1,3100001,3200000,100000,*,0.340656433,0.621658901
33,chr1,3200001,3300000,100000,*,0.317785184,0.661484604
34,chr1,3300001,3400000,100000,*,0.442518049,0.704358769
35,chr1,3400001,3500000,100000,*,0.261587456,0.62411621
36,chr1,3500001,3600000,100000,*,0.329795954,0.734214855
37,chr1,3600001,3700000,100000,*,0.406170736,0.679636103
38,chr1,3700001,3800000,100000,*,0.46730786,0.748614976
39,chr1,3800001,3900000,100000,*,0.568348266,0.703883889
40,chr1,3900001,4000000,100000,*,0.847388904,0.847948868
41,chr1,4000001,4100000,100000,*,0.570897348,0.798058949
42,chr1,4100001,4200000,100000,*,0.441259738,0.805369911
43,chr1,4200001,4300000,100000,*,0.589604222,0.914149756
